Url,Date,ID,Lang,Content,likeCount,retweetCount,quotedTweet,quoteCount,User,User_friendsCount,User_followersCount,User_statusesCount
https://twitter.com/aliya_Hshah/status/781969970825658369,2016-09-30 21:32:24+00:00,781969970825658369,en,#China ties can help #HongKong catch up in #fintech https://t.co/brIfFFsen5 @Reuters #investment #marketresearch #tech #Alibaba #Tencent,2,0,,0,https://twitter.com/aliya_Hshah,380,5916,57854
https://twitter.com/Andrew_Campling/status/781919080479686656,2016-09-30 18:10:10+00:00,781919080479686656,en,"#Tencent cracks whip on #WeChat users inflating readership numbers 

  #SocialMedia https://t.co/iuLtCmorMX",0,0,,0,https://twitter.com/Andrew_Campling,3750,3215,87836
https://twitter.com/iResearchChina/status/781896699383996417,2016-09-30 16:41:14+00:00,781896699383996417,en,#Tencent and #NetEase took the first two places in China's top 10 online #gaming companies by #mobile games revenue in Q2 2016 https://t.co/JVTRJkSa7m,0,1,,0,https://twitter.com/iResearchChina,1898,3527,2640
https://twitter.com/BrianDeagon/status/781844435424292864,2016-09-30 13:13:34+00:00,781844435424292864,en,"Two Years After Its Blockbuster IPO, Alibaba Ready To Take On World https://t.co/hQ1DJLUNuk $BABA $JD $BIDU #Tencent",1,1,,0,https://twitter.com/BrianDeagon,3266,3000,4391
https://twitter.com/adincube/status/781815651572785152,2016-09-30 11:19:11+00:00,781815651572785152,en,Analyzing China’s mobile advertising technology market https://t.co/R7XjY6LWVE via @TechCrunch #baidu #tencent #alibaba #useracquisition,2,1,,0,https://twitter.com/adincube,1586,1338,590
https://twitter.com/alltechasianews/status/781783147079794689,2016-09-30 09:10:01+00:00,781783147079794689,en,"#Tencent cleans up pageview scammers on #Wechat
https://t.co/uIX5RKotaw https://t.co/daJrMesu0A",0,0,,0,https://twitter.com/alltechasianews,574,7362,27916
https://twitter.com/pipsnticks/status/781747412956176384,2016-09-30 06:48:02+00:00,781747412956176384,en,selective heavyweights in $HSI #CCB #ICBC #ABC #TENCENT #HSBC #HKEx #AIA https://t.co/4IffemsZaG,0,0,,0,https://twitter.com/pipsnticks,1679,1007,86667
https://twitter.com/thepiggame/status/781721208937148416,2016-09-30 05:03:54+00:00,781721208937148416,en,"Happy https://t.co/2EuDn5z242               #crewonthebeach #Tencent #FredrikWester #Avanza
#crowdfunding #paradox #Pepins #bigdata #Sedo",1,0,,0,https://twitter.com/thepiggame,2106,366,3784
https://twitter.com/Filmvisionfrank/status/781721027437035521,2016-09-30 05:03:11+00:00,781721027437035521,en,"Happy https://t.co/XdS0ZYMNIu               #crewonthebeach #Tencent #FredrikWester #Avanza
#crowdfunding #paradox #Pepins #bigdata #Sedo",0,0,,0,https://twitter.com/Filmvisionfrank,881,351,4988
https://twitter.com/Fotoeloppis/status/781720678261198848,2016-09-30 05:01:48+00:00,781720678261198848,en,"Hallo 
https://t.co/WujUrQmlr2              
#crewonthebeach #Tencent #FredrikWester #Avanza #bigdata #vegas #cloudcomputing #sweden #Acram",1,0,,0,https://twitter.com/Fotoeloppis,1240,334,5246
